search_word,title,price,url
Молоко,"Молоко ультрапастеризованное 2,5% в ассортименте, 0,93/1 л",64.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000273384/
Молоко,"Молоко ""Село Зеленое"" ультрапастеризованное, 3,2%, 950 мл",114.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000238271/
Молоко,"Молоко ультрапастеризованное 3,2% в ассортименете 925мл/1000мл",98.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000560951/
Молоко,"Молоко ""Хуторок"", пастеризованное, 3,2-6%, 900 мл",82.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000271385/
Молоко,"Молоко ""Экомилк"" отборное пастеризованное 3,4-4,5%, 900 мл",80.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000315332/
Молоко,"Молоко ""Сафiйка"", ультрапастеризованное, 2,5%, 1430 мл",119.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000546311/
Молоко,"Молоко ""Правильное"" пастеризованное 3,2-4%, 2 л",181.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000298650/
Молоко,"Молоко ""Село Зеленое"", 3,2%, 2 кг",189.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000509793/
Молоко,"Молоко ультрапастеризованное 2,5% в ассортименете 924мл/1000мл",84.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000511374/
Молоко,"Молоко ультрапастеризованное ""Домик в деревне"" 3,2%, 950 г",127.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000066819/
Молоко,"Молоко ""Лебедянь"" Отборное, 3,4-6%, 1,4 кг",139.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000571331/
Молоко,"Молоко ""Простоквашино"" пастеризованное 2,5%, 930 мл",86.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000024178/
Молоко,"Молоко ""Домик в деревне"", пастеризованное, 3,2%, 1900 мл",199.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000594992/
Молоко,"Молоко Простоквашино Отборное пастеризованное 3,4-4,5% 930мл",91.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/DI00081046/
Молоко,"Молоко ультрапастеризованное Хуторок 2,5% 973мл",84.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000600212/
Молоко,"Молоко ""Parmalat"" ультрапастеризованное 3,5%, 1 л",128.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000328874/
Молоко,"Молоко пастеризованное Домик в деревне 3,7% отборное, 930мл",104.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000133521/
Молоко,"Молоко ""Parmalat"" безлактозное 1,8%, 1 л",133.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000328870/
Молоко,"Молоко ультрапастеризованное Хуторок 3,2% 973мл",89.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000600213/
Молоко,"Молоко пастеризованное Домик в деревне 3,7% отборное, 1400мл",171.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000227471/
Молоко,"Молоко ""Село Зеленое"" ультрапастеризованное, 2,5%, 0,95 л",109.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000263555/
Молоко,"Молоко пастеризованное ""Домик в деревне"" 2,5%, 1400 мл",125.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000313238/
Молоко,"Молоко ""Простоквашино"" пастеризованное 1,5%, 930 мл",80.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000204889/
Молоко,"Молоко ультрапастеризованное Хуторок 1,5% 973мл",74.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000600211/
Молоко,"Молоко ультрапастеризованное М 3,2%, 950 г",114.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/10J0077073/
Молоко,"Молоко ""Простоквашино"", 3,2%, 1,4 л",151.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000557212/
Молоко,"Молоко сгущенное ""Рогачевъ"" с сахаром 8,5%, 380 г",172.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/sgushchennoe-moloko/2000014518/
Молоко,"Молоко ультрапастеризованное Му-у Для капучино 3,2%, 925мл",109.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000589411/
Молоко,"Молоко ""Эго"" топленое, 3,2%, 900 г",97.99₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000216779/
Молоко,"Молоко Хуторок Отборное 3,4-6% 1400мл",129.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/moloko/2000603016/
Молоко,Колбаса Мираторг Сервелат Мраморный варено-копченая 330г,229.90₽,https://dixy.ru/catalog/myasnaya-gastronomiya/kolbasa-vareno--kopchenaya/2000603351/
Молоко,КОЛБАСА ЧЕСНОЧНАЯ ПАПА МОЖЕТ П/К В/У 350Г ОМПК,299.90₽,https://dixy.ru/catalog/myasnaya-gastronomiya/kolbasa-vareno--kopchenaya/2000422446/
Молоко,СР-ВО ДЛЯ КУПАНИЯ BABY BOOM ДЕТ. С ЭКСТР.РОМ.750МЛ,199.90₽,https://dixy.ru/catalog/tovary-dlya-detey/gigiena-i-ukhod/2000605353/
Молоко,МЫЛО BABY BOOM ДЕТ. ЖИДКОЕ С ЭКСТР. ЧЕР 0+ 500 МЛ,154.90₽,https://dixy.ru/catalog/tovary-dlya-detey/gigiena-i-ukhod/2000605355/
Молоко,КРЕМ-МЫЛО BABY BOOM ДЕТ. С ЭКСТР. РОМАШКИ 500 МЛ,154.90₽,https://dixy.ru/catalog/tovary-dlya-detey/gigiena-i-ukhod/2000605356/
Молоко,ШАМПУНЬ BABY BOOM ДЕТ. С ЭКСТР. РОМАШКИ 250 МЛ,89.99₽,https://dixy.ru/catalog/tovary-dlya-detey/gigiena-i-ukhod/2000605354/
Молоко,"Масло сливочное Стародуб Традиционное 82,5% 180г",249.90₽,https://dixy.ru/catalog/molochnye-produkty-yaytsa/maslo-i-margarin/2000605413/
Молоко,"Насадки для ролика ""Wellfort"", 50 листов, 2 шт",89.99₽,https://dixy.ru/catalog/bytovaya-khimiya/ukhod-za-obuvyu-i-odejdoy/2000552971/
Молоко,Паста ореховая Nutella с добавлением какао 180г,349.90₽,https://dixy.ru/catalog/konditerskie-izdeliya-torty/shokolad-pasty/2000001794/
Молоко,Колбаски Черкизово По-домашнему с чесноком 450г,199.90₽,https://dixy.ru/catalog/myaso-ptitsa/kotlety-kupaty-shashlyk/2000419133/
Молоко,Печенье Фанни Ямми c яблочной начинкой 104г,69.99₽,https://dixy.ru/catalog/konditerskie-izdeliya-torty/pechene-pryaniki/2000604751/
Молоко,Печенье Фанни Ямми c какао и ванильной начинкой 104г,69.99₽,https://dixy.ru/catalog/konditerskie-izdeliya-torty/pechene-pryaniki/2000604753/
Молоко,МАСЛО ФИЛИПП БЕРИО ОЛИВКОВОЕ EV С/Б 250МЛ,449.90₽,https://dixy.ru/catalog/bakaleya/maslo/2000347675/
Молоко,Колбаса ЕКГФ с трюфелем сыровяленая нарезка 70г,129.90₽,https://dixy.ru/catalog/myasnaya-gastronomiya/kolbasa-vyalennaya/2000603391/
Молоко,ПЕТРУШКА УПАК 75Г,69.99₽,https://dixy.ru/catalog/ovoshchi-frukty/zelen-i-salaty/2000603795/
Молоко,КИНЗА 1 УПАКОВКА 75Г,99.99₽,https://dixy.ru/catalog/ovoshchi-frukty/zelen-i-salaty/2000603793/
Молоко,"Чай черный ""Greenfield"" Kenyan Sunrise, листовой, 200 г",429.90₽,https://dixy.ru/catalog/chay-kofe-kakao/chay-chernyy/2000361849/
Молоко,Колбаса Клинский МК Миланская сырокопченая нарезка 210г,199.90₽,https://dixy.ru/catalog/myasnaya-gastronomiya/kolbasa-vyalennaya/2000603172/
Молоко,"Антиперспирант-аэрозоль ""Rexona"" Свежесть душа, 150 мл",159.90₽,https://dixy.ru/catalog/gigiena-i-kosmetika/ukhod-za-litsom-i-telom/2000321591/
Молоко,"Зубная щетка ""Oral-B"" 1-2-3 Medium средней жесткости",89.99₽,https://dixy.ru/catalog/gigiena-i-kosmetika/ukhod-za-polostyu-rta/2000088859/
Хлеб,Манго Египет,319.90₽,https://dixy.ru/catalog/ovoshchi-frukty/ekzotika/%D0%A6%D0%A20016684/
